street,suburb,region,postcode
JOHN GORTON DRIVE,COOMBS,ACT,2611
WILLIAMS ROAD,MILLICENT,SA,5280
STEFFANONI CIRCUIT,MONASH,ACT,2904
OCEAN STREET,VICTOR HARBOR,SA,5211
LYTTLETON CRESCENT,COOK,ACT,2614
GILBERT STREET,ADELAIDE,SA,5000
GILLES STREET,ADELAIDE,SA,5000
BRIDGE STREET,KENSINGTON,SA,5068
SPRING STREET,BEVERLEY,SA,5009
REDRUTH STREET,CRACE,ACT,2911
SEMLEY STREET,ELIZABETH VALE,SA,5112
PHILIP AVENUE,VICTOR HARBOR,SA,5211
BROOKS STREET,WHITFIELD,QLD,4870
MACDONALD STREET,ERSKINEVILLE,NSW,2043
HALIFAX STREET,ADELAIDE,SA,5000
HALL STREET,BONDI BEACH,NSW,2026
MCLEAN STREET,ELIZABETH PARK,SA,5113
PULTENEY STREET,ADELAIDE,SA,5000
MALONEY STREET,EASTLAKES,NSW,2018
MARION STREET,ADELAIDE,SA,5000
MELBOURNE STREET,NORTH ADELAIDE,SA,5006
WILLIAM STREET,SOUTH PLYMPTON,SA,5038
SALISBURY HIGHWAY,PARAFIELD GARDENS,SA,5107
CHURCHILL ROAD,PROSPECT,SA,5082
DORA STREET,HURSTVILLE,NSW,2220
FINCHLEY STREET,CLOVELLY PARK,SA,5042
ROSE TERRACE,WAYVILLE,SA,5034
REID ROAD,WONGALING BEACH,QLD,4852
FITZROY STREET,LEURA,NSW,2780
QUAY STREET,HAYMARKET,NSW,2000
SMITH ROAD,WOODRIDGE,QLD,4114
GROTE STREET,ADELAIDE,SA,5000
HICKEY STREET,CESSNOCK,NSW,2325
WAYMOUTH STREET,ADELAIDE,SA,5000
RUSSELL AVENUE,DOLLS POINT,NSW,2219
PACIFIC HIGHWAY,HORNSBY,NSW,2077
MUSGRAVE AVENUE,WEST HINDMARSH,SA,5007
STURT STREET,KINGSFORD,NSW,2032
SOUTH TERRACE,ADELAIDE,SA,5000
EPPING PARK DRIVE,EPPING,NSW,2121
GREENHILL ROAD,GLENSIDE,SA,5065
FULLARTON ROAD,FULLARTON,SA,5063
SOUTH ROAD,RICHMOND,SA,5033
